AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-46,-385,16528,-1,-6,3
-49,-368,16510,1,-5,4
-29,-379,16522,1,-6,2
-38,-385,16504,-2,-5,0
-46,-399,16521,0,-5,1
-36,-374,16547,-2,-6,2
-24,-368,16547,0,-6,3
-40,-378,16536,0,-5,2
-26,-388,16507,1,-4,1
-24,-390,16520,0,-7,3
-50,-379,16527,0,-4,1
-41,-388,16537,0,-6,0
-48,-381,16518,0,-4,2
-39,-384,16532,0,-5,2
-39,-398,16529,0,-5,1
-30,-380,16532,-2,-6,2
-25,-362,16527,-1,-6,0
-21,-356,16533,-1,-6,2
-38,-364,16530,-1,-6,3
-43,-374,16542,0,-7,0
-42,-381,16524,0,-6,1
-30,-390,16540,0,-5,3
-27,-385,16525,-2,-9,4
-26,-398,16535,1,-5,2
-29,-380,16535,-1,-5,1
-25,-381,16528,-1,-5,3
-30,-380,16519,0,-6,1
-34,-379,16520,-1,-4,1
-42,-380,16530,0,-6,3
-25,-372,16540,-1,-6,-1
-32,-370,16528,-1,-4,2
-20,-381,16534,0,-6,0
-16,-364,16537,1,-6,1
-15,-373,16537,-2,-5,2
-23,-356,16524,1,-5,1
-29,-360,16539,0,-4,0
-32,-374,16516,0,-5,2
-17,-377,16528,0,-6,1
-11,-373,16526,0,-7,3
-10,-366,16524,0,-6,2
-31,-376,16563,-2,-6,1
-35,-372,16537,1,-6,0
-32,-393,16540,0,-6,1
-23,-373,16527,0,-8,2
-16,-381,16541,-1,-7,2
-27,-374,16527,-1,-6,3
-20,-368,16527,-1,-7,3
-22,-361,16546,1,-8,0
-37,-372,16522,1,-6,2
-28,-373,16500,1,-6,2
-26,-384,16535,0,-7,2
-34,-387,16539,0,-7,2
-19,-372,16524,-1,-5,3
-25,-368,16535,2,-6,1
-24,-374,16545,-1,-5,4
-39,-386,16516,1,-5,2
-21,-370,16529,0,-5,1
-26,-394,16534,0,-5,2
-27,-370,16534,0,-6,1
-20,-383,16538,0,-7,2
-23,-380,16535,1,-6,2
-27,-358,16535,0,-6,2
-34,-386,16527,-1,-6,2
-25,-389,16527,1,-6,2
-45,-376,16531,0,-6,2
-22,-403,16521,0,-5,2
-32,-373,16529,2,-6,1
-44,-398,16508,-1,-6,3
-37,-382,16534,0,-5,2
-31,-378,16532,-1,-6,2
-34,-383,16518,0,-6,1
-27,-396,16542,0,-7,2
-36,-392,16529,0,-5,2
-30,-388,16512,0,-5,2
-18,-382,16525,1,-5,3
-43,-380,16529,-1,-5,1
-32,-371,16531,0,-4,-1
-38,-367,16529,0,-4,2
-30,-380,16534,-1,-6,2
-11,-379,16527,0,-6,1
-20,-374,16535,1,-5,1
-49,-364,16534,0,-6,2
-30,-378,16519,-1,-5,0
-33,-376,16532,-1,-6,0
-31,-388,16531,-1,-6,3
-38,-375,16528,0,-4,1
-35,-379,16520,-1,-6,2
-33,-375,16527,-2,-6,2
-24,-374,16525,-1,-5,2
-41,-381,16522,-1,-6,2
-36,-377,16531,-2,-6,2
-47,-403,16528,1,-7,2
-14,-382,16540,1,-7,1
-21,-369,16526,-1,-6,2
-23,-378,16542,0,-6,1
-46,-385,16543,0,-6,2
-37,-392,16524,1,-7,1
-54,-392,16509,0,-4,1
-15,-375,16521,1,-7,0
-20,-401,16529,0,-6,3
-46,-386,16539,-1,-7,1
-42,-371,16515,1,-8,2
-26,-376,16513,-2,-6,1
-49,-370,16520,-1,-6,2
-42,-381,16533,-1,-7,2
-37,-384,16530,-1,-8,2
-53,-374,16516,0,-5,2
-23,-368,16525,0,-7,3
-34,-386,16527,0,-5,1
-30,-358,16547,0,-6,3
-17,-367,16509,0,-5,4
-18,-394,16523,-1,-7,3
-38,-382,16531,-1,-5,1
-39,-366,16541,1,-5,3
-43,-365,16523,0,-4,0
-29,-386,16527,1,-6,2
-28,-392,16527,2,-5,2
-32,-388,16531,2,-7,1
-26,-375,16518,-2,-6,2
